sale_date;channel_type;prod_name;cnt;amt;amt_clear
2021-07-01;Почта;АП Снижаем ставку плюс ;2;2393150;2220000
2021-08-02;КЦ;Снижаем ставку ;14;11414518,5;10299000
2022-09-26;МАП;Практичный А ;1;148944;120000
2021-05-22;DBO;ПраймАдресный Первый  ;4;1152380;1002500
2022-04-05;Почта;Суперсмарт Лайт АПЛ ;5;1170162,5;906000
2022-04-13;DBO;Рефинансирование Суперсмарт Лайт ;1;215000;215000
2022-06-10;Почта;Рефинансирование Практичный АЛ ;26;10073259,6;8068500
2021-06-08;КЦ;Рефинансирование Адресный;4;2328239,37;2125393
2021-06-25;Почта;Снижаем ставку АЛ минимум ;3;2984920;2582000
2022-06-20;DBO;Практичный АПЛ ;1;226610;170000
2021-07-20;DBO;ПраймАдресный Льготный  ;13;3765204;3044000
2021-09-14;DBO;А Снижаем ставку плюс ;2;3199440;3053000
2022-02-08;КЦ;Практичный ;8;3479520,36;3031500
2022-07-21;МФЦ;Практичный А ;1;516999;510500
2021-01-26;DBO;Суперхит  Адресный Первый;6;2588920;1961000
2022-01-08;Почта;Практичный ;1;330428;280000
2021-12-21;Почта;Практичный АП ;1;300046,08;271000
2021-03-04;Почта;Шаг навстречу;2;391500;391500
2021-07-09;Почта;Снижаем ставку АП минимум ;1;1151250;1010000
2021-01-04;КЦ;Адресный Льготный;16;2630223,5;1925500
2021-03-06;Почта;Суперпочтовый;92;29802024;25562500
2021-07-14;DBO;Снижаем ставку минимум ;2;2342000;2342000
2021-10-30;КЦ;Перспектива Лайт АП  ;8;2798216,8;2455500
2021-09-13;Почта;Снижаем ставку А промо ;1;1385860;1233000
2021-12-20;Почта;Рефинансирование Суперсмарт АП ;1;792850;765000
2022-06-16;DBO;Суперсмарт ;42;9870589;9187000
2021-07-22;Стойки;ПраймАдресный Льготный  ;1;259780;216000
2022-05-11;КЦ;Рефинансирование Практичный ;6;2550555,1;1943000
2021-01-08;Почта;Адресный Льготный;26;5785013,5;4481500
2022-04-15;Почта;Рефинансирование Суперсмарт ;2;981852;772000
2022-04-22;КЦ;Суперсмарт Лайт АЛ ;8;1241315;1072000
2022-05-05;Почта;Практичный ;103;43360566,42;34880500
2022-09-09;Почта;Стабильный А ;29;4368937,61;4368937,61
2021-04-12;Стойки;Адресный Льготный;8;1554871,5;1383000
2021-10-07;DBO;А Снижаем ставку ;8;7758504;6827000
2022-05-19;DBO;Практичный ;6;2635133;2540000
